RBnumber,sequence_num,recovered_date,recovered_district,recovered_address,recovered_halfadd,recovered_room,recovered_city,recovered_state,recovered_zip,year,color,make,model,bodytype,licensenum,licensestate,licenseyear,VIN,approximate_value,stolen?,questionable_stolen?,steering_lock?,doors_locked?,ignition_locked?,key_in_vehicle?
X77874,1,12/30/2009 12:00 AM,095,4707 MILITARY AV,,,OMAHA,NE,68104,03,SIL,OLDS,,2D,,,00,1G3NL12E33C202362,,Y,N,N,N,N,N
X81960,1,06/29/2011 12:00 AM,085,5624 N 24 ST,,,OMAHA,NE,68110,98,BGE,CHRY,,4D,PYL625,NE,10,1C3EJ56HZWN122081,8900,Y,N,N,N,N,Y
X83286,1,02/08/2011 12:00 AM,095,UNKNOWN ST,,,LEES SUMMITT,MO,,04,WHI,CADI,,UT,547SZC,IA,10,1GYEK63N04R317783,,Y,N,N,N,N,Y
X88891,1,07/07/2011 12:00 AM,095,CASS COUNTY ST,,,,,,99,WHI,FORD,,PK,ORB235,NE,10,1FTNF21F7XEE88525,,Y,N,N,N,N,N
X90274,1,04/27/2011 12:00 AM,015,10900 IOWA PL,,,OMAHA,NE,,95,BLK,STRN,,2D,OYV077,NE,10,1G8ZH1275SZ283570,,Y,N,N,N,N,N
X95797,1,02/15/2011 12:00 AM,043,4027 SEWARD ST,,,OMAHA,NE,68111,06,GRY,HOND,ACC,4D,RDV662,NE,10,1HGCM66816A063596,8000,Y,N,N,N,N,N
X87795,1,03/19/2011 12:00 AM,095,UNK ST,,,BROWNSVILLE,TX,,01,WHI,GMC,,PK,CF24687,AZ,10,1GTJC39G51F141710,,Y,N,N,N,N,N
Y08040,1,05/10/2011 12:00 AM,042,3752 N 40 ST,,,OMAHA,NE,68111,99,WHI,HOND,ACC,,,,00,1HGCG3259XA001236,,N,N,N,N,N,N
Y08141,1,,000,,,,,,,73,BLU,CHEV,,CV,OVN422,NE,10,1N67Y3S236925,,N,N,N,N,N,N
Y11345,1,04/07/2011 12:00 AM,052,2051 HARNEY ST,,,OMAHA,NE,68102,04,WHI,CHEV,IMP,4D,PXR129,NE,11,2G1WF52E149336213,6000,Y,N,N,N,N,Y
Y15730,1,05/23/2010 12:00 AM,091,4343 S 67 ST,,,OMAHA,NE,68117,82,TAN,BUIC,,4DR,313WYL,IA,10,1G4AL19E8CD473184,,Y,N,N,N,N,N
Y15780,1,01/08/2011 12:00 AM,066,4913 S 23 ST,,,OMAHA,NE,68107,99,SIL,CADI,ESC,UT,RJJ528,NE,10,1GYEK13R6XR413301,5000,Y,N,N,N,N,N
Y17915,1,03/22/2011 12:00 AM,051,1300 DOUGLAS ST,,,OMAHA,NE,68102,01,GRN,MITS,ECL,2DR,PFA943,NE,10,4A3AC54H61E095450,,Y,N,N,N,N,Y
Y17943,1,12/23/2010 12:00 AM,091,3041 S 252 ST,,,OMAHA,NE,,02,BLK,,,TL,XIB819,NE,10,4JHBT19262D001716,2000,Y,N,N,N,N,N
Y17970,1,12/23/2010 12:00 AM,095,25200 W CENTER RD,,,OMAHA,NE,,02,BLK,,,,NB015GTD,NE,10,JTC4705D202,18000,Y,N,N,N,N,N
Y18321,1,11/22/2010 12:00 AM,075,4209 S 61 ST,,,OMAHA,NE,68117,85,BLU/BGE,CHEV,CAP,4D,PXC650,NE,10,1G1BN69HXFX133153,500,Y,N,N,N,N,N
Y23954,1,06/28/2010 12:00 AM,065,4443 S 13 ST,,,OMAHA,NE,68107,95,GLD,HOND,,4D,RGQ961,NE,10,JHMCD5632SC004566,,Y,N,N,N,N,Y
Y23456,1,10/26/2010 12:00 AM,095,10245 WISEMAN DR,,,COUNCIL BLUFFS,IA,,03,BLU,SUZU,AER,4D,RDP232,NE,10,JS2RC41H135212218,6000,Y,N,N,N,N,N
Y25943,1,10/11/2011 12:00 AM,064,7808 F ST,,,OMAHA,NE,68127,04,BLK,SUZU,TK,LL,OOG039,NE,11,JS3TX92V144102252,17000,Y,N,N,N,N,N
Y26035,1,04/14/2011 12:00 AM,095,UNK ST,,,COUNCIL BLUFFS,IA,,78,MAR,,,,,,00,9530535,200,Y,N,N,N,N,N
Y27161,1,07/12/2010 12:00 AM,032,7410 N 28 AV,,,OMAHA,NE,68112,81,RED,CHEV,CAP,2DR,PMV915,NE,10,1G1AN47N1BJ229369,1500,Y,N,N,N,N,N
Y32217,1,08/11/2010 12:00 AM,095,UNK ST,,,LAVISTA,NE,,90,RED,BUIC,LES,4DR,PYR502,NE,10,1G4HP54C0LH457926,,Y,N,N,N,N,N
Y32408,1,01/18/2011 12:00 AM,095,UNK ST,,,,,,79,BLU,CHEV,TK,PK,,,00,1W80H9K436373,,Y,N,N,N,N,N
Y31916,1,07/31/2010 12:00 AM,052,2308 HOWARD ST,,,OMAHA,NE,68102,99,RED,PONT,GRA,4D,PTS077,NE,11,1G2NE52T9XM908949,2500,Y,N,N,N,N,N
Y31996,1,08/01/2010 12:00 AM,095,1 UNKNOWN ST,,,OMAHA,NE,,07,RED,CHEV,,TK,PBO738,NE,11,3GCEK13MB7G508839,,Y,N,N,N,N,N
Y32101,1,03/21/2011 12:00 AM,095,10525 ELLISON PL,,,OMAHA,NE,,95,RED/BLK,HOND,,4D,RFH178,NE,11,1HGCD7233SA004351,3500,Y,N,N,N,N,N
Y34019,1,06/28/2011 12:00 AM,095,1 CASS CO SO ST,,,PLATTSMOUT,NE,,89,SIL,JEEP,CRK,UT,PBM828,NE,10,1J4FN78L2KL570435,500,Y,N,N,N,N,N
Y33515,1,,000,,,,,,,09,RED,HOND,,MC,RGT871,NE,10,JH2AF580X9K600649,4000,Y,N,N,N,N,N
Y37030,1,02/02/2011 12:00 AM,095,UNK ST,,,COUNCIL BLUFFS,IA,,96,WHI,CHEV,TK,PK,RAS866,NE,00,2GCEK19R3T1221818,3000,Y,N,N,N,N,N
Y37324,1,12/27/2010 12:00 AM,043,4002 FRANKLIN ST,,,OMAHA,NE,68111,98,BLU,CHEV,TK,LL,,,00,1GNDT13W3W2139994,3500,Y,N,N,N,N,N
Y36493,1,08/19/2010 12:00 AM,063,3000 POPPLETON AV,,,OMAHA,NE,68105,93,BLK,INFI,,4DR,RJP429,NE,11,JNKAY21D2PM021461,1000,Y,N,N,N,N,N
Y36546,1,01/19/2011 12:00 AM,074,BLONDO/SKYLINE DR,,,,,,06,,JEEP,,UT,RFD746,NE,10,1J46L58K46W238734,5000,Y,N,N,N,N,Y
Y42817,1,09/14/2010 12:00 AM,031,3000 FORESTLAWN DR,,,OMAHA,NE,,06,ONG,MITS,ECL,2DR,RHY770,NE,10,4A3AK34TX6E007261,,Y,N,N,N,N,N
Y43119,1,03/19/2011 12:00 AM,025,3728 N 43 ST,,,OMAHA,NE,68111,80,PNK/BLU,CHEV,IMP,4D,,,00,1L69HAJ151799,3000,Y,N,N,N,N,N
Y43290,1,01/04/2010 12:00 AM,063,3200 FREDERICK ST,,,OMAHA,NE,68105,05,BLK,,,TL,XIO851,NE,10,4J6US101X1B032115,2500,Y,N,N,N,N,N
Y43411,1,02/03/2011 12:00 AM,066,3600 Q ST,,,OMAHA,NE,68107,99,WHI,DODG,TK,LL,RJF416,NE,10,1B4HS28Z7XF691480,5000,Y,N,N,N,N,N
Y42649,1,11/01/2010 12:00 AM,048,1025 CLARK ST,,,OMAHA,NE,68110,98,RED,FORD,,PK,RMR704,NE,11,1FTYR10C7WUD05697,2000,Y,N,N,N,N,Y
Y44855,1,02/27/2011 12:00 AM,095,PHILADELPHIA PA ST,,,,,,03,BLK,MAZD,,4DR,HKY4358,PA,11,1YVFP80C435M48676,8000,Y,N,N,N,N,N
Y45730,1,12/08/2010 12:00 AM,014,11100 BLONDO ST,,,OMAHA,NE,68164,00,BLU,FORD,ESC,4D,,,00,3FAFP13P9YR258507,6500,Y,N,N,N,N,N
Y47082,1,10/03/2011 12:00 AM,095,1 UNKNOWN ST,,,LINCOLN,NE,,08,SIL,DODG,,4DR,,,00,1B3LC46K48N126351,,Y,N,N,N,N,N
Y46253,1,,000,,,,,,,02,WHI,SATR,,4DR,RND152,NE,10,1G8ZF52852Z249652,,Y,N,N,N,N,N
Y46351,1,08/14/2010 12:00 AM,049,601 N 30 ST,,,OMAHA,NE,68131,10,RED,TOYT,COR,4D,RMB516,NE,10,2T1BU4EE0AC399394,,N,Y,N,N,N,Y
Y47632,1,12/13/2010 12:00 AM,046,3400 HAMILTON ST,,,OMAHA,NE,68131,10,BLK,DODG,CHA,4D,OWK372,NE,10,2B3CA3CV5AH217268,,Y,N,N,N,N,Y
Y47758,1,03/28/2011 12:00 AM,026,4119 N 43 ST,,,OMAHA,NE,68111,08,BLU,VOLK,JET,4D,PXB592,NE,11,3VWJM71K38M025868,,Y,N,N,N,N,Y
Y48509,1,02/25/2011 12:00 AM,048,1025 CLARK ST,,,OMAHA,NE,68110,85,WHI,,,TL,XIU109,NE,11,NONE,,Y,N,N,N,N,N
Y49389,1,12/27/2010 12:00 AM,051,1300 DODGE ST,,,OMAHA,NE,68102,02,SIL,DODG,TK,PK,RMN994,NE,11,3B7HF13Y41G783474,1200,Y,N,N,N,N,N
Y49554,1,11/09/2010 12:00 AM,046,807 N 35 ST,,,OMAHA,NE,68131,10,BLK,CHEV,,SUV,FB5N0C,MO,12,1GNUKBE09AR205787,37731,Y,N,N,N,N,Y
Y50586,1,08/26/2011 12:00 AM,044,3002 CUMINGS ST,,,OMAHA,NE,,97,RED,PONT,,4D,,,00,1G2WP52K9VF257376,2900,Y,N,N,N,N,N
Y52350,1,,000,,,,,,,86,WHI,OLDS,,4DR,RNG312,NE,10,1G3CW69B4G4349247,2500,Y,N,N,N,N,N
Y49871,1,02/20/2011 12:00 AM,048,1400 CUMING ST,,,OMAHA,NE,,01,SIL,TOYT,COR,4D,,,00,1NXBR12E1Z47142,5000,Y,N,N,N,N,N
Y50045,1,12/25/2010 12:00 AM,095,UNK ST,,,KANSAS CITY,MO,,02,SIL,SUZI,,UT,11J641,NE,10,JS3TD6EV124162195,4250,Y,N,N,N,N,Y
Y51432,1,08/18/2011 12:00 AM,012,3848 HWS CLEVELAND ST,,,OMAHA,NE,,03,BLU/WHI,SUZI,,RT,PSE318,NE,10,JS1SP46A032101148,3500,Y,N,N,N,N,N
Y52838,1,11/14/2011 12:00 AM,091,7016 RAILROAD AV,,,BELLEVUE,NE,,00,RED,CHEV,,PK,RMD288,NE,11,1GCCT19W7Y8178437,10000,Y,N,N,N,N,N
Y52430,1,01/05/2011 12:00 AM,095,UNK ST,,,,,,98,MAR,CADI,DEV,4D,RME937,NE,11,1G6KD54Y8WU726400,,Y,N,N,N,N,N
Y52536,1,10/24/2010 12:00 AM,047,2900 BURDETTE ST,,,OMAHA,NE,68111,02,RED,CADI,TK,LL,OKH475,NE,11,1GYEK63NX2R217607,15000,Y,N,N,N,N,N
Y52726,1,10/25/2010 12:00 AM,088,15600 WEST CENTER RD,,,OMAHA,NE,68130,00,WHI,FORD,TK,PK,PYK672,NE,11,1FTNW21FXYEB91136,10000,Y,N,N,N,N,N
Y52739,1,10/25/2010 12:00 AM,101,2610 N 192 CT,,,OMAHA,NE,,05,WHI,FORD,,VAN,PTD347,NE,11,1FTRE14WE35HA34184,15000,Y,N,N,N,N,N
Y53725,1,10/28/2010 12:00 AM,075,640 S 68 AV,,,OMAHA,NE,68106,03,SIL,CHEV,IMP,4D,9C738,NE,11,2G1WF52E039375291,,Y,N,N,N,N,N
Y53800,1,12/15/2010 12:00 AM,091,IMPOUND LOT ST,,,OMAHA,NE,,10,BLU,,,3DR,RIU076,NE,10,WMWMM3C59AT232449,,Y,N,N,N,N,N
Y53801,1,11/05/2010 12:00 AM,031,7267 N 36 AV,,,OMAHA,NE,68112,99,GRN,,,4DR,RIM555,NE,10,SAJPD1844XC871395,12000,Y,N,N,N,N,N
Y52938,1,10/26/2010 12:00 AM,052,541 S 24 ST,,,OMAHA,NE,68102,00,RED,FORD,,PK,175036,NE,10,3FTSW31F41MA81790,,N,N,N,N,N,N
Y53561,1,01/31/2011 12:00 AM,031,NORTH RIDGE/REYNOLDS ST,,,,,,02,SIL,CHEV,,MALI,OYZ859,NE,11,1G1ND52J02M536612,3000,Y,N,N,N,N,Y
Y53582,1,05/09/2011 12:00 AM,013,3304 N 105 PA,,,OMAHA,NE,68134,91,TAN,BUIC,SEN,4D,RHZ845,NE,10,1G4AH54R4ME432026,2000,Y,N,N,N,N,N
Y54334,1,10/29/2010 12:00 AM,024,6615 N 64 PA,,12,OMAHA,NE,68152,99,BLK,FORD,TAU,4DR,RID524,NE,10,1FAFP53U0XG300663,2000,Y,N,N,N,N,N
Y54390,1,10/31/2010 12:00 AM,036,2000 FORT ST,,,OMAHA,NE,,83,RED,CHEV,CAM,2D,20V82,NE,10,1G1AP87S7DL137178,,Y,N,N,N,N,N
Y54398,1,01/25/2011 12:00 AM,095,UNK ST,,,PAPILLION,NE,,05,BLK,TOYT,,4D,OUZ958,NE,11,JTKKT624850118168,4500,Y,N,N,N,N,N
Y55591,1,11/09/2010 12:00 AM,015,6304 N 99 ST,,,OMAHA,NE,68134,88,BLU,CHEV,,UT,RDC751,NE,10,1GNCT18Z0J8225297,2000,Y,N,N,N,N,N
Y55633,1,,000,,,,,,,82,BGE,CHEV,CAP,4D,OPT521,NE,11,2G1AN69H5C1121285,,N,N,N,N,N,N
Y55738,1,11/11/2010 12:00 AM,076,7801 F ST,,,OMAHA,NE,68127,07,,,,MC,,,00,JKAVFEE107B506746,7000,Y,N,N,N,N,Y
Y54737,1,11/01/2010 12:00 AM,067,2900 T ST,,,OMAHA,NE,68107,04,SIL,CHEV,,UT,PMD762,NE,11,1GNDT13S442286738,,N,N,N,N,N,Y
Y54754,1,11/01/2010 12:00 AM,024,9131 TIMBERLINE DR,,,OMAHA,NE,68152,92,RED,CHEV,,TK,239TOO,IA,10,1GCDC14Z4NE146595,,N,N,N,N,N,N
Y55185,1,01/06/2011 12:00 AM,095,UNKNOWN ST,,,,,,04,BLK,CHEV,MAL,4D,RMF261,NE,10,1G1Z454894F117967,7000,Y,N,N,N,N,N
Y56061,1,11/05/2010 12:00 AM,011,16900 BOYLE ST,,,OMAHA,NE,,06,RED,GMC,TK,PK,RBI536,NE,11,1GTHK23D36F139648,35000,Y,N,N,N,N,Y
Y56062,1,11/05/2010 12:00 AM,011,16900 BOYLE ST,,,OMAHA,NE,,98,WHI,CHEV,TK,PK,ONR353,NE,11,1GCGK24R6WZ218090,9000,Y,N,N,N,N,N
Y56063,1,11/05/2010 12:00 AM,011,16900 BOYLE ST,,,OMAHA,NE,,03,BLK,,,TL,XIU162,NE,11,4PRUS18283T000133,2000,Y,N,N,N,N,N
Y56064,1,11/05/2010 12:00 AM,011,16900 BOYLE ST,,,OMAHA,NE,,10,RED,,,,,,00,000903,10000,Y,N,N,N,N,N
Y56065,1,11/05/2010 12:00 AM,011,16700 BOYLE ST,,,OMAHA,NE,,09,ONG,,,,,,00,664810289,6800,Y,N,N,N,N,N
Y56066,1,11/05/2010 12:00 AM,011,16900 BOYLE ST,,,OMAHA,NE,,08,ONG,,,,,,00,000009,9000,Y,N,N,N,N,N
Y56120,1,11/06/2010 12:00 AM,045,3200 FRANKLIN ST,,,OMAHA,NE,68111,94,BLU,BUIC,CNT,4D,194XRB,IA,10,1G4AH55MXR6426791,,N,N,N,N,N,Y
Y56162,1,11/06/2010 12:00 AM,013,10512 BEDFORD PA,,,OMAHA,NE,68134,80,WHI,OLDS,CUT,4D,RHV727,NE,11,3R47FAR501305,,N,N,N,Y,N,N
Y56323,1,,000,,,,,,,00,SIL,MAZD,MIL,4D,OYY284,NE,10,JM1TA222XY1607677,,N,N,N,N,N,N
Y55275,1,,000,,,,,,,88,WHI,CADI,DEV,4D,,,00,1G6CD5151J4250417,5000,Y,N,N,N,N,N
Y55509,1,11/06/2010 12:00 AM,079,9600 Q ST,,,OMAHA,NE,68127,08,BLU,DODG,RAM,PK,PZX792,NE,11,3D7KS28A78G163513,30000,Y,N,N,N,N,N
Y56455,1,,000,,,,,,,92,WHI,DODG,STE,2H,RDF083,NE,11,JB3XD44S6NY012704,,N,N,N,N,N,N
Y56487,1,03/10/2011 12:00 AM,083,5109 S 121 ST,,,OMAHA,NE,68137,04,BLK,FORD,EXP,UTIL,79796AZ,AL,11,1FMZU62K54UB68773,,Y,N,N,N,N,N
Y56537,1,11/09/2010 12:00 AM,045,4600 HAMILTON ST,,,OMAHA,NE,68132,79,BLK,,,MC,RLW575,NE,11,KZ650B525602,1500,Y,N,N,N,N,N
Y56548,1,11/22/2010 12:00 AM,095,UNK ST,,,GENESEO,IL,,01,BGE,DODG,INT,4DR,RBP991,NE,11,2B3HD46R81H507361,2500,Y,N,N,N,N,N
Y57315,1,12/18/2010 12:00 AM,095,COUNCIL BLUFFS_PD ST,,,,,,94,GRN,MAZD,,4D,RJA689,NE,10,1YVG222DXS5316520,,Y,N,N,N,N,N
Y57341,1,11/11/2010 12:00 AM,075,5000 GROVER ST,,,OMAHA,NE,68106,01,WHI,,,TK,OKB214,NE,10,4KLB4B1R01J800184,,Y,N,N,N,N,Y
Y57342,1,,000,,,,,,,94,WHI,OLDS,CUT,4D,PFM717,NE,11,1G3AG55M2R6304501,,N,N,N,N,N,N
Y57393,1,,000,,,,,,,87,WHI,FORD,MUS,2D,RMR392,NE,11,1FABP40E2HF220343,3300,N,N,N,N,N,N
Y57479,1,11/12/2010 12:00 AM,061,1924 S 10 ST,,,OMAHA,NE,68108,03,TAN,CHEV,,UT,540WDO,IA,10,1GNEC13V13J278325,,N,N,N,N,N,N
Y57511,1,11/12/2010 12:00 AM,027,3740 N 42 ST,,,OMAHA,NE,68111,97,RED,PONT,GRA,4D,RMP865,NE,10,1G2WJ52K9VF230955,,N,N,N,N,N,N
Y57712,1,11/12/2010 12:00 AM,066,1609 N ST,,,OMAHA,NE,68107,05,BLK,VOLV,,UTIL,OOK257,NE,10,YV1CZ59Z751142748,,N,N,N,N,N,N
Y58142,1,04/29/2011 12:00 AM,095,201 N 16 ST,,,OMAHA,NE,68102,04,BLK,KIA,OPT,4DR,PVW245,NE,11,KNAGD126845364327,12000,Y,N,N,N,N,N
Y58194,1,,000,,,,,,,03,SIL,PORS,,2D,TARTUF1,NE,10,WP0ABZ99535685715,70000,N,N,N,N,N,N
Y58219,1,12/20/2010 12:00 AM,095,7301 S HARRISON HILLS DR,,,OMAHA,NE,,95,RED,DODG,TK,PK,REI016,NE,10,3B7HC13Z3SM167334,4000,Y,N,N,N,N,N
Y58596,1,03/19/2011 12:00 AM,091,1 UNK ST,,,CARTER LAKE,IA,,92,RED,GMC,,PU,OJO836,NE,10,1GTFK24K5NZ509340,2000,Y,N,N,N,N,N
Y58635,1,11/16/2010 12:00 AM,036,1700 FOWLER AV,,,OMAHA,NE,68110,84,GRN,CHEV,,PICKUP,903WYM,IA,10,1GCEK14HXEJ107600,,N,N,N,N,N,N
Y58727,1,11/17/2010 12:00 AM,074,7200 ROSE BLUMKIN DR,,,OMAHA,NE,,88,BLU/WHI,CHEV,TK,VN,D1627,IA,10,2GNEG25K1J4155546,,N,N,N,N,N,N
Y58997,1,11/18/2010 12:00 AM,076,2500 J ST,,,OMAHA,NE,68107,96,BLK,MAZD,,4DR,RIE596,NE,10,1YVGE22CXT5545286,1300,Y,N,N,N,N,N
Y59006,1,,000,,,,,,,02,WHI,CHEV,TK,PK,RIA734,NE,11,1GCHK24G12E104633,,Y,N,N,N,N,N
Y59061,1,11/19/2010 12:00 AM,023,5520 N 57 AV,,,OMAHA,NE,68104,00,BLK,,,TL,XVK363,NE,10,,,Y,N,N,N,N,N
Y59064,1,11/19/2010 12:00 AM,023,5520 N 57 AV,,,OMAHA,NE,68104,02,,,,,38155,NE,10,,,Y,N,N,N,N,N
Y59070,1,01/21/2011 12:00 AM,066,407 W 30 AV,,,BELLEVUE,NE,,99,WHI,FORD,TK,PK,RJR444,NE,10,1FTPF28W1XNA97773,,Y,N,N,N,N,N
Y59242,1,11/19/2010 12:00 AM,041,3931 N 37 ST,,,OMAHA,NE,68111,96,WHI,TOYT,CAM,4D,PKZ809,NE,10,4T1BG12K3TU934249,3000,N,N,N,N,N,Y
Y59309,1,11/22/2010 12:00 AM,071,6000 M ST,,,OMAHA,NE,68117,97,BLK,NISS,TK,PK,RAD283,NE,11,1N6SD16S4VC361407,1500,Y,N,N,N,N,N
Y59312,1,11/19/2010 12:00 AM,036,1470 CAMDEN AV,,,OMAHA,NE,68110,89,BLU,CHEV,TK,PK,629WYN,IA,11,1GCDC14K5KE243223,,N,N,N,N,N,N
Y59583,1,,000,,,,,,,90,BLU,CADI,DEV,2D,RKM595,NE,11,1G6CD1335L44318029,,N,N,N,N,N,Y
Y59633,1,,000,,,,,,,10,BLK,,,TL,,,00,,1500,Y,N,N,N,N,N
Y59640,1,,000,,,,,,,00,BLK,,,TL,XII100,NE,09,NONE,,Y,N,N,N,N,N
Y59650,1,11/20/2010 12:00 AM,029,HAPPYHOLLOW/HAMILTON ST,,,,,,94,BLK,NISS,SEN,4D,OJI255,NE,10,1N4EB31P3RC862112,,N,N,N,N,N,N
Y59682,1,,000,,,,,,,99,RED,CHEV,,PK,,,00,NO VIN,1500,Y,N,N,N,N,N
Y59758,1,11/24/2010 12:00 AM,071,FAY/Q ST,,,,,,08,SIL,FORD,,4D,PXD790,NE,11,3FAHP07Z08R125519,,Y,N,N,N,N,Y
