Class,DescriptionOfClass,BusinessName,Location 2
CK    ,Catering + liquor on/off sale,WOHLNER'S MIDTOWN GROCERY & DELI    ,"3253 DODGE STREET
OMAHA, NE
(41.25971350701691, -95.9609855781375)"
I     ,Beer/liquor on sale,CHIPOTLE MEXICAN GRILL              ,"3605 147 STREET
OMAHA, NE
(41.291448793751314, -96.14354142250743)"
I     ,Beer/liquor on sale,DAVE & BUSTER'S                     ,"2502 133 PLAZA
OMAHA, NE
(41.23580355651541, -96.12163144100623)"
C     ,Beer/liquor on/off sale,"BLUE MARTINI, THE                   ","10730 PACIFIC STREET
OMAHA, NE
(41.24881034724956, -96.08112591667322)"
C     ,Beer/liquor on/off sale,LEGACY GYROS                        ,"16920 WRIGHT PLAZA
OMAHA, NE
(41.23303544714501, -96.17831936612394)"
CK    ,Catering + liquor on/off sale,CRANE COFFEE CAFE                   ,"1403 FARNAM ST
OMAHA, NE
(41.257542764154095, -95.93522890385987)"
I     ,Beer/liquor on sale,KOBE OF OMAHA                       ,"120 REGENCY PKWY
OMAHA, NE
(41.26004155118349, -96.0696409762948)"
C     ,Beer/liquor on/off sale,PARLIAMENT PUB                      ,"16939 WRIGHT PLAZA
OMAHA, NE
(41.23298589018061, -96.17848790341061)"
I     ,Beer/liquor on sale,LANSKY'S                            ,"4601 50TH
OMAHA, NE
(41.260689999643944, -95.94059000012828)"
I     ,Beer/liquor on sale,RED LOUNGE                          ,"14450 EAGLE RUN DR
OMAHA, NE
(41.28749018772976, -96.14067902145342)"
I     ,Beer/liquor on sale,FUNNY BONE                          ,"17305 DAVENPORT ST
OMAHA, NE
(41.2609108695486, -96.1849613585206)"
C     ,Beer/liquor on/off sale,REPORT IN PUB                       ,"12100 CENTER ROAD
OMAHA, NE
(41.23414909938711, -96.10197548382024)"
C     ,Beer/liquor on/off sale,WORLD OF WINE                       ,"14450 EAGLE RUN DR
OMAHA, NE
(41.28749018772976, -96.14067902145342)"
I     ,Beer/liquor on sale,BLUE SUSHI SAKE GRILL               ,"14450 EAGLE RUN DR
OMAHA, NE
(41.28749018772976, -96.14067902145342)"
C     ,Beer/liquor on/off sale,"E.R.BAR, THE                        ","2236 NO 91ST PLAZA
OMAHA, NE
(41.278474448588334, -96.05380889145636)"
CK    ,Catering + liquor on/off sale,"GREY PLUME, THE                     ","220 31ST AVE
OMAHA, NE
(41.26054410804767, -95.95920010398864)"
CK    ,Catering + liquor on/off sale,LOFT 610 URBAN RESTAURANT & LOUNGE  ,"220 31 AVENUE
OMAHA, NE
(41.26054410804767, -95.95920010398864)"
IK    ,Catering + liquor on sale,CRAVE                               ,"200 31 AVENUE
OMAHA, NE
(41.26042099151474, -95.95920237341782)"
IK    ,Catering + liquor on sale,CANTINA LAREDO #133                 ,"120 31 AVENUE
OMAHA, NE
(41.25992852515561, -95.95921145113873)"
I     ,Beer/liquor on sale,RECEPTION CONNECTION                ,"12100 CENTER RD
OMAHA, NE
(41.23414909938711, -96.10197548382024)"
C     ,Beer/liquor on/off sale,INGREDIENT RESTUARANT               ,"3201 FARNAM STREET
OMAHA, NE
(41.2576588125591, -95.96042790712082)"
C     ,Beer/liquor on/off sale,BLANC BURGERS & BOTTLES             ,"3157 FARNAM STREET
OMAHA, NE
(41.2576588125591, -95.95935825349919)"
C     ,Beer/liquor on/off sale,WINE 121                            ,"12100 CENTER ROAD
OMAHA, NE
(41.23414909938711, -96.10197548382024)"
C     ,Beer/liquor on/off sale,3-5-7 CLUB                          ,"2414 AMES AVENUE
OMAHA, NE
(41.29968585790584, -95.9471391393802)"
C     ,Beer/liquor on/off sale,"WATERFALL LOUNGE, THE               ","10208 168TH AVE
OMAHA, NE
(41.15742428959302, -96.17741496112257)"
DK    ,Catering + liquor off sale,CATERING CREATIONS                  ,"7515 PACIFIC STREET
OMAHA, NE
(41.248755524469004, -96.0295257743635)"
I     ,Beer/liquor on sale,QDOBA MEXICAN GRILL                 ,"1110 71 ST
OMAHA, NE
(41.24857884628649, -96.02241914444785)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"2085 120 STREET
OMAHA, NE
(41.27926368671871, -96.1004556651929)"
A     ,Beer on sale,PEPPER JAX GRILL                    ,"8406 PARK DRIVE
OMAHA, NE
(41.200813530545815, -96.04333640500204)"
C     ,Beer/liquor on/off sale,VIP LOUNGE                          ,"9001 ARBOR STREET
OMAHA, NE
(41.23665151341345, -96.0531300219011)"
C     ,Beer/liquor on/off sale,BAMBINO'S                           ,"2236 NO 91ST PLAZA
OMAHA, NE
(41.278474448588334, -96.05380889145636)"
DK    ,Catering + liquor off sale,SUPER TARGET                        ,"4001 132 STREET
OMAHA, NE
(41.2213565461673, -96.11936496310008)"
C     ,Beer/liquor on/off sale,BRAZENHEAD IRISH PUB                ,"319 NO 78TH ST
OMAHA, NE
(41.261813082457124, -96.0366415910175)"
I     ,Beer/liquor on sale,WINGSTOP                            ,"1110 71ST ST
OMAHA, NE
(41.24857884628649, -96.02241914444785)"
