RestaurantName,Rating,InspectionDate,Location 1
DAVE'S TAVERN,STANDARD,04/05/2011 12:00 AM,"8803-5 MAPLE ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
DC CENTRE,EXCELLENT,04/13/2011 12:00 AM,"11830 STONEGATE CIR
Omaha, NE
(41.28665381824254, -96.09833894031402)"
D & D SALADS INC,EXCELLENT,07/27/2011 12:00 AM,"9425 NO 48TH ST
Omaha, NE
(41.34546947895876, -95.98543805275568)"
DEEP ROCK/FONTENELLE WATER,EXCELLENT,05/25/2011 12:00 AM,"4110 SO 138 ST
Omaha, NE
(41.21956439485672, -96.12799858084031)"
DELICE EUROPEAN BAKERY & CAFÉ,STANDARD,12/15/2010 12:00 AM,"3201 FARNAM ST
Omaha, NE
(41.2576588125591, -95.96042790712082)"
DELI EXPRESS,STANDARD,06/29/2011 12:00 AM,"1205 SO 50 ST
Omaha, NE
(41.24759626251, -95.99014150696894)"
DELTA HOUSE,STANDARD,07/20/2011 12:00 AM,"3121 NO 108 ST
Omaha, NE
(41.28685591647638, -96.08138031369856)"
DENNY'S RESTAURANT #6635,EXCELLENT,02/09/2011 12:00 AM,"3509 SO 84 ST
Omaha, NE
(41.22531106262397, -96.0423561439901)"
DES GROUP / WEST OMAHA DAY CAFÉ,EXCELLENT,03/14/2011 12:00 AM,"2828 SO 87 AVE
Omaha, NE
(41.23243369309603, -96.0496406524274)"
DEUCE'S LOUNGE/GRILL,EXCELLENT,05/16/2011 12:00 AM,"12107 EMMET ST
Omaha, NE
(41.29028478780438, -96.10203297274258)"
DIGZ (THE),EXCELLENT,10/14/2010 12:00 AM,"4428 SO 140 ST
Omaha, NE
(41.21495986606669, -96.1336822960655)"
DILORENZO-PENKE,EXCELLENT,06/24/2011 12:00 AM,"5711 SO 60 ST
Omaha, NE
(41.19918575767281, -96.00464757130152)"
DI MANUFACTURING LLC,EXCELLENT,06/23/2011 12:00 AM,"13335 C ST
Omaha, NE
(41.22232077050673, -96.12200926313352)"
DINAH MART,STANDARD,03/15/2011 12:00 AM,"2604 SO 13 ST
Omaha, NE
(41.2346190456272, -95.93333133437807)"
DINER (THE),STANDARD,04/12/2010 12:00 AM,"409 SO 12 ST
Omaha, NE
(41.25617579466956, -95.9318384598094)"
DINER (THE) @ CREIGHTON UNIV,EXCELLENT,03/16/2010 12:00 AM,"2400 CASS ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
DINING ROOM AT UPRR (THE),SUPERIOR,06/14/2010 12:00 AM,"1400 DOUGLAS ST
Omaha, NE
(41.258648930250104, -95.93552568012956)"
DINKERS BAR,EXCELLENT,01/24/2011 12:00 AM,"2368 SO 29 ST
Omaha, NE
(41.23666949985403, -95.95438446308395)"
DIOS GYROS,STANDARD,04/25/2011 12:00 AM,"3627 SO 117
Omaha, NE
(41.260689999643944, -95.94059000012828)"
DISABLED AMERICAN VETERANS,EXCELLENT,08/02/2011 12:00 AM,"4515 F ST
Omaha, NE
(41.2197442592626, -95.98131915786149)"
DIXIE QUICKS MAGNOLIA ROOM,EXCELLENT,06/16/2011 12:00 AM,"1915 LEAVENWORTH ST
Omaha, NE
(41.25234234371144, -95.94101043919102)"
DIXIE'S FINEST WHIPPED ICING,EXCELLENT,04/01/2011 12:00 AM,"12735 MARINDA
Omaha, NE
(41.239055847315925, -96.11257925683891)"
D & J BEVERAGE SERVICE INC,STANDARD,07/14/2011 12:00 AM,"14564 GROVER ST
Omaha, NE
(41.226192398212675, -96.1439885265213)"
D J 'S DUGOUT,STANDARD,03/10/2011 12:00 AM,"636 NO 114 ST
Omaha, NE
(41.26524300065584, -96.09107547401047)"
D J 'S DUGOUT,STANDARD,01/25/2011 12:00 AM,"1003 CAPITAL AVE
Omaha, NE
(41.26055418944929, -95.92925836723995)"
D LOUIS BLACK POST 3421 VFW,EXCELLENT,05/13/2011 12:00 AM,"3434 MCKINLEY ST
Omaha, NE
(41.34332219655479, -95.96503189899067)"
DOC & EDDIE'S BBQ,EXCELLENT,03/24/2010 12:00 AM,"6610 SO 168 ST
Omaha, NE
(41.19255775431685, -96.17750625855331)"
DOC'S BAR & GRILL,FAIR,07/21/2011 12:00 AM,"4303 SO 89 ST
Omaha, NE
(41.217450988087876, -96.048984147346)"
DOC'S LEGACY LOUNGE,STANDARD,05/05/2011 12:00 AM,"3922 AMES AVE
Omaha, NE
(41.299609243206746, -95.97122099061077)"
DOG DOCTOR (THE),EXCELLENT,07/26/2011 12:00 AM,"3223 NO 45 ST
Omaha, NE
(41.287733004677705, -95.98054574091628)"
DO HICKEY'S BAR & GRILL,STANDARD,02/08/2011 12:00 AM,"4936 SO 135 ST
Omaha, NE
(41.208869971760606, -96.12390862632105)"
DOLLAR GENERAL #4570,EXCELLENT,02/22/2011 12:00 AM,"5470 NO 90 ST
Omaha, NE
(41.30888103024805, -96.05276428155679)"
DOLLAR GENERAL #4858,EXCELLENT,06/20/2011 12:00 AM,"2929 NO 108 ST
Omaha, NE
(41.28521187866304, -96.08126197906364)"
DOLLAR GENERAL #7382,EXCELLENT,05/24/2011 12:00 AM,"3110 NO 90 ST
Omaha, NE
(41.28724726842189, -96.05276516779311)"
DOLLAR GENERAL #7383,EXCELLENT,02/16/2011 12:00 AM,"5636 AMES AVE
Omaha, NE
(41.29962946324902, -96.00078881498861)"
DOLLAR TREE,EXCELLENT,06/15/2011 12:00 AM,"12303 W CENTER RD
Omaha, NE
(41.233989520206705, -96.10561445553105)"
DOLLAR TREE,EXCELLENT,11/18/2010 12:00 AM,"2930 K ST
Omaha, NE
(41.21351282105837, -95.95053313231614)"
DOLLAR TREE #2308,EXCELLENT,06/03/2011 12:00 AM,"3065 NO 90 ST
Omaha, NE
(41.286750493711494, -96.05221061330843)"
DOLLAR TREE #2525,STANDARD,04/18/2011 12:00 AM,"7402 NO 30 ST
Omaha, NE
(41.327545990914814, -95.95794577831998)"
DOLPHIN'S CAR WASH,EXCELLENT,03/08/2011 12:00 AM,"2511 SO 140 ST
Omaha, NE
(41.235653265960934, -96.13463557741653)"
DOMINO'S PIZZA,STANDARD,04/08/2011 12:00 AM,"3818 NO 156 ST
Omaha, NE
(41.293151338153294, -96.15828876761152)"
DOMINO'S PIZZA,STANDARD,02/05/2010 12:00 AM,"2728 ST MARYS AVE
Omaha, NE
(41.25354977434398, -95.95275669021095)"
DOMINO'S PIZZA,STANDARD,02/07/2011 12:00 AM,"721 SO 72 ST
Omaha, NE
(41.253765611631025, -96.02391104916916)"
DOMINO'S PIZZA,EXCELLENT,02/08/2011 12:00 AM,"14330 HILLSDALE DR
Omaha, NE
(41.215176566812545, -96.13782664175763)"
DOMINO'S PIZZA,EXCELLENT,06/21/2011 12:00 AM,"7120 MILITARY AVE
Omaha, NE
(41.29721185886649, -96.02284085595426)"
DON CARMELOS PIZZERIA,EXCELLENT,07/28/2011 12:00 AM,"1024 NO 204 ST
Omaha, NE
(41.26811196953763, -96.23464386109936)"
DON CARMELOS PIZZERIA,EXCELLENT,06/13/2011 12:00 AM,"10821 PRAIRIE BROOK RD
Omaha, NE
(41.23318626777432, -96.0817452628646)"
DON GABY'S RESTAURANT,STANDARD,04/14/2010 12:00 AM,"4806 SO 24 ST
Omaha, NE
(41.210787011850755, -95.94706398176544)"
DON & MILLIE'S,EXCELLENT,04/26/2011 12:00 AM,"10727 W CENTER RD
Omaha, NE
(41.23417837783285, -96.08092806582675)"
DON & MILLIE'S,STANDARD,07/18/2011 12:00 AM,"8405 Q ST
Omaha, NE
(41.20532812713293, -96.04395693720221)"
DON & MILLIE'S,EXCELLENT,03/12/2010 12:00 AM,"4430 FARNAM ST
Omaha, NE
(41.25777658788172, -95.97989822905521)"
DONOHUE'S SPORTS PUB & GRILL,EXCELLENT,04/19/2011 12:00 AM,"3232 L ST
Omaha, NE
(41.21226189997884, -95.96228051050122)"
DONUT HAVEN,EXCELLENT,06/07/2011 12:00 AM,"13807 P ST
Omaha, NE
(41.20662315085514, -96.13010299438889)"
DONUT PROFESSOR (THE),EXCELLENT,05/16/2011 12:00 AM,"920 NO 204 AVE
Omaha, NE
(41.26741437138407, -96.23520394383091)"
DONUT PROFESSOR (THE),STANDARD,04/06/2011 12:00 AM,"1222 SO 71 ST
Omaha, NE
(41.247483802749684, -96.02241914444785)"
DONUT PROFESSOR (THE),EXCELLENT,06/10/2011 12:00 AM,"3605 NO 147 ST #104
Omaha, NE
(41.291060496186105, -96.1436018180487)"
DONUT STOP,STANDARD,02/04/2011 12:00 AM,"1256 SO 13 ST
Omaha, NE
(41.246166340483455, -95.93328636827658)"
DOUBLETREE GUEST SUITES HOTEL,STANDARD,04/08/2011 12:00 AM,"7270 CEDAR ST
Omaha, NE
(41.24023081509006, -96.02540392373777)"
DOUBLETREE HOTEL & EXEC MEETING,STANDARD,03/25/2010 12:00 AM,"1616 DODGE ST
Omaha, NE
(41.25965617092294, -95.93745922249252)"
DOUGER'S LOUNGE,STANDARD,05/21/2010 12:00 AM,"4401 CUMING ST
Omaha, NE
(41.26788410403225, -95.97871166356974)"
DOUGLAS COUNTY HEALTH CENTER,EXCELLENT,07/12/2011 12:00 AM,"4102 WOOLWORTH AVE
Omaha, NE
(41.24522291581144, -95.97470104704786)"
DOUGLAS COUNTY WAREHOUSE,EXCELLENT,01/15/2010 12:00 AM,"1225 SO 40 ST
Omaha, NE
(41.260689999643944, -95.94059000012828)"
DOUGLAS COUNTY WEST MIDDLE SCHOOL,EXCELLENT,04/12/2011 12:00 AM,"801 NO FRONT
Omaha, NE
(41.260689999643944, -95.94059000012828)"
DOUGLAS CO WEST HIGH SCHOOL,STANDARD,04/12/2011 12:00 AM,"401 SO PINE ST
Omaha, NE
(41.24374630076579, -95.92143968911678)"
DOWNING'S HOMESTYLE DELI/ICE,EXCELLENT,05/26/2011 12:00 AM,"12043 BLONDO ST
Omaha, NE
(41.27756708871154, -96.10260498499201)"
DOWNTOWN FOOD MART,FAIR,03/03/2010 12:00 AM,"318 SO 16 ST
Omaha, NE
(41.25736380089815, -95.9372533587132)"
DOWN UNDER BAR,STANDARD,05/23/2011 12:00 AM,"3804 LEAVENWORTH ST
Omaha, NE
(41.25243547848646, -95.96919150055507)"
DRAFT HOUSE,STANDARD,07/27/2011 12:00 AM,"1203 SO 180 ST
Omaha, NE
(41.24797203916373, -96.19621844278693)"
DRAGON 88,STANDARD,05/16/2011 12:00 AM,"4528 NO 30 ST
Omaha, NE
(41.300332506308166, -95.95653384273396)"
DRAGON CAFÉ EXPRESS,STANDARD,03/04/2010 12:00 AM,"7622 DODGE ST
Omaha, NE
(41.25974696658466, -96.03248895801121)"
DREISBACK'S STEAKS INC,EXCELLENT,04/28/2011 12:00 AM,"4702 SO 27 ST
Omaha, NE
(41.21145251015247, -95.95144368004816)"
DRIFT INN BAR,STANDARD,09/10/2010 12:00 AM,"4332 SO 33 ST
Omaha, NE
(41.21688883657389, -95.96259620846129)"
DR J P LORD SCH CAFETERIA,SUPERIOR,06/24/2010 12:00 AM,"330 SO 44 ST
Omaha, NE
(41.25693122517413, -95.978603205333)"
DROVER (THE),EXCELLENT,03/01/2011 12:00 AM,"2121 SO 73 ST
Omaha, NE
(41.239079682892566, -96.02621331356414)"
DRUID HILL ELEMENTARY,EXCELLENT,06/21/2011 12:00 AM,"4020 NO 30 ST
Omaha, NE
(41.295494153790514, -95.95656981561513)"
D'S FRONTIER,STANDARD,03/24/2011 12:00 AM,"8516 NO 30 ST
Omaha, NE
(41.33779826204881, -95.96082360881377)"
DUNDEE CORK & BOTTLE,STANDARD,01/12/2010 12:00 AM,"614 NO 50 ST
Omaha, NE
(41.26438484014274, -95.99032861616821)"
DUNDEE DELL,FAIR,01/11/2010 12:00 AM,"5002 UNDERWOOD AVE
Omaha, NE
(41.2650790827596, -95.99081599849092)"
DUNDEE DOUBLE SHOT,STANDARD,02/10/2010 12:00 AM,"118 NO 50 ST
Omaha, NE
(41.26027670312317, -95.99026741205302)"
DUNDEE SCHOOL,SUPERIOR,05/12/2011 12:00 AM,"310 NO 52 ST
Omaha, NE
(41.261459071159834, -95.99515171627175)"
DUNDEE THEATRE,STANDARD,01/10/2010 12:00 AM,"4952 DODGE ST
Omaha, NE
(41.25968315058378, -95.98970983239485)"
DUNN DEAL,FAIR,05/18/2011 12:00 AM,"2310 NO 16TH ST
Omaha, NE
(41.280286618275056, -95.93744123605194)"
EAGLE FOOD MART/SELECT MART,STANDARD,10/29/2010 12:00 AM,"3707 CENTER ST
Omaha, NE
(41.241525838812265, -95.96814409013223)"
EAGLE RUN GOLF (seasonal),EXCELLENT,04/05/2011 12:00 AM,"3435 NO 132 ST
Omaha, NE
(41.290257794155096, -96.11959762660958)"
EAST AFRICA GROCERY STORE,STANDARD,05/02/2011 12:00 AM,"2555 LEAVENWORTH ST
Omaha, NE
(41.252361805806515, -95.94956484646988)"
EAT THE WORM,STANDARD,04/06/2010 12:00 AM,"1213 HOWARD ST
Omaha, NE
(41.25539252104522, -95.93205493760676)"
ECLIPSE TAVERN,EXCELLENT,06/16/2011 12:00 AM,"1201 SO 157 ST
Omaha, NE
(41.24535846625608, -96.15990557449133)"
ECONO LODGE OF OMAHA,EXCELLENT,02/02/2011 12:00 AM,"10919 J ST
Omaha, NE
(41.21432134742594, -96.0835630793726)"
ECREAMERY,EXCELLENT,05/20/2010 12:00 AM,"5001 UNDERWOOD AVE
Omaha, NE
(41.2650790827596, -95.99047425611974)"
EDDIE'S CATERING,EXCELLENT,05/06/2010 12:00 AM,"5009 SO 24 ST
Omaha, NE
(41.20792716779761, -95.94706398176544)"
EDDYS,STANDARD,04/13/2011 12:00 AM,"11919 FORT ST
Omaha, NE
(41.30654682153062, -96.09969691657824)"
EDDYS,EXCELLENT,07/08/2011 12:00 AM,"15605 W CENTER RD
Omaha, NE
(41.233917574444376, -96.15996048576164)"
EDDYS ELKHORN,STANDARD,02/22/2011 12:00 AM,"20402 VETERANS DR
Omaha, NE
(41.269722215919906, -96.23462292087)"
EDIBLE ARRANGEMENTS,EXCELLENT,04/06/2011 12:00 AM,"1110 SO 71 ST
Omaha, NE
(41.24765022183175, -96.02234622883816)"
EDIBLE ARRANGEMENTS,STANDARD,04/05/2011 12:00 AM,"16950 WRIGHT PLZ
Omaha, NE
(41.23310649749201, -96.17847138102486)"
EDISON ELEM SCHOOL,SUPERIOR,06/13/2011 12:00 AM,"2303 NO 97 ST
Omaha, NE
(41.27999883522568, -96.06462335743555)"
EDUCATED BAKER (THE),STANDARD,04/11/2011 12:00 AM,"5180 LEAVENWORTH ST
Omaha, NE
(41.25237166248559, -95.9953395882983)"
EILEEN'S COLOSSAL COOKIES,EXCELLENT,07/12/2011 12:00 AM,"1110 SO 71 ST
Omaha, NE
(41.24765022183175, -96.02234622883816)"
EILEEN'S COLOSSAL COOKIES,EXCELLENT,07/15/2011 12:00 AM,"14532 W CENTER RD
Omaha, NE
(41.23397464658867, -96.14138274139312)"
EINSTEIN'S CAFÉ,STANDARD,03/29/2011 12:00 AM,"804 NO 204 ST
Omaha, NE
(41.26559791523041, -96.22990485598595)"
EINSTEIN'S CAFÉ,STANDARD,05/06/2011 12:00 AM,"5710 NO 30 ST
Omaha, NE
(41.3103935122414, -95.95663041794657)"
EL 7 DE COPAS,STANDARD,06/15/2011 12:00 AM,"4623 SO 33 ST
Omaha, NE
(41.212621628790544, -95.96251433422884)"
EL 7 MARES,STANDARD,03/29/2010 12:00 AM,"5447 S 24 ST
Omaha, NE
(41.20211754748834, -95.94706398176544)"
EL AGUILA RESTAURANT,STANDARD,07/20/2011 12:00 AM,"1837 VINTON ST
Omaha, NE
(41.23254161173952, -95.94077772078066)"
EL ALAMO,FAIR,04/20/2010 12:00 AM,"4917 SO 24 ST
Omaha, NE
(41.20911427287626, -95.94706398176544)"
EL BASHA,EXCELLENT,02/10/2011 12:00 AM,"7503 PACIFIC ST
Omaha, NE
(41.24881034724956, -96.02936993388698)"
ELBOW ROOM,STANDARD,07/20/2011 12:00 AM,"4973 CENTER ST
Omaha, NE
(41.241497995692555, -95.9894902154568)"
EL CARIBE,STANDARD,02/10/2010 12:00 AM,"7711 L ST
Omaha, NE
(41.211933859928465, -96.03369933624182)"
EL CATRIN,STANDARD,04/14/2010 12:00 AM,"6500 RAILROAD AVE
Omaha, NE
(41.19378083227673, -95.93965356824401)"
EL DORADO,STANDARD,03/31/2010 12:00 AM,"5134 SO 24TH ST
Omaha, NE
(41.205903693231676, -95.94707297498576)"
EL FINITO,STANDARD,06/24/2011 12:00 AM,"3205 LEAVENWORTH
Omaha, NE
(41.25233482614561, -95.96034411418732)"
EL GUAPO,STANDARD,03/15/2011 12:00 AM,"840 SO 24 ST
Omaha, NE
(41.250869794696655, -95.94708196820602)"
ELITE LOUNGE & GRILL,EXCELLENT,01/07/2011 12:00 AM,"11009 ELM ST
Omaha, NE
(41.23259610315654, -96.08381050141702)"
ELKHORN EAGLES,STANDARD,02/22/2011 12:00 AM,"302 E DOUGLAS ST
Omaha, NE
(41.286809969442935, -96.23141984827143)"
ELKHORN MIDDLE SCHOOL,SUPERIOR,03/10/2011 12:00 AM,"3200 NO 207 PLZ
Omaha, NE
(41.28476626152898, -96.24008209848735)"
ELKHORN RIDGE GOLF/THE RIDGE BANQUET,EXCELLENT,04/14/2011 12:00 AM,"2003 ELKHORN RIDGE
Omaha, NE
(41.260689999643944, -95.94059000012828)"
ELKHORN RIDGE MIDDLE SCHOOL,SUPERIOR,12/01/2010 12:00 AM,"17880 MERCY RD
Omaha, NE
(41.260689999643944, -95.94059000012828)"
ELKHORN SENIOR HIGH,SUPERIOR,03/15/2011 12:00 AM,"1401 VETERANS DR
Omaha, NE
(41.270550088374804, -96.23054353167502)"
ELKHORN SOUTH HIGH SCHOOL,EXCELLENT,03/23/2011 12:00 AM,"20303 BLUE SAGE PRKY
Omaha, NE
(41.260689999643944, -95.94059000012828)"
ELKHORN WESTRIDGE ELEM,SUPERIOR,03/03/2011 12:00 AM,"3100 NO 206 ST
Omaha, NE
(41.28652873695263, -96.23782371379056)"
ELK RIDGE INDEPENDENT LIVING,EXCELLENT,05/10/2011 12:00 AM,"19303 SEWARD PLZ
Omaha, NE
(41.260689999643944, -95.94059000012828)"
EL MALECON,STANDARD,02/22/2011 12:00 AM,"4630 SO 20 ST
Omaha, NE
(41.21234283896143, -95.94174898857227)"
EL MUNDO DE MEXICO CARDENAS,STANDARD,10/07/2010 12:00 AM,"2415 M ST
Omaha, NE
(41.210995954319515, -95.94731187716876)"
EL MUSEO LATINO,STANDARD,06/22/2011 12:00 AM,"4701 SO 25 ST
Omaha, NE
(41.21172230676126, -95.94858383599495)"
ELMWOOD GOLF COURSE,EXCELLENT,07/28/2011 12:00 AM,"6232 PACIFIC ST
Omaha, NE
(41.24875638792781, -96.00775922552293)"
ELMWOOD TOWER,EXCELLENT,02/17/2011 12:00 AM,"801 SO 52 ST
Omaha, NE
(41.252281730282675, -95.99508777813008)"
EL PARAISO,STANDARD,03/09/2011 12:00 AM,"3811 Q ST
Omaha, NE
(41.205391079674996, -95.9716244663856)"
EL POTRERO,STANDARD,06/30/2011 12:00 AM,"2505 SO 132 ST
Omaha, NE
(41.235302530369495, -96.1195539469852)"
EL PUERTO NUEVO,EXCELLENT,04/22/2011 12:00 AM,"4030 SO 24 ST
Omaha, NE
(41.219996069430806, -95.94702800888427)"
EL QUETZAL,EXCELLENT,07/12/2011 12:00 AM,"1941 VINTON ST
Omaha, NE
(41.231282560898535, -95.94176697501285)"
EL RANCHITO,STANDARD,05/12/2011 12:00 AM,"4318 SO 24 ST
Omaha, NE
(41.21672253724415, -95.9470370021046)"
EL RANCHO,EXCELLENT,07/21/2011 12:00 AM,"2030 MARTHA
Omaha, NE
(41.238291999486826, -95.9428195526159)"
EL TAQUERA PELIGRO,FAIR,05/31/2010 12:00 AM,"5133 SO 25 ST
Omaha, NE
(41.20609255085782, -95.94854786311379)"
EMBASSY SUITES HOTEL,EXCELLENT,03/30/2010 12:00 AM,"555 SO 10 ST
Omaha, NE
(41.25479083874444, -95.9292574055853)"
ENTENMANN'S - OROWEAT,EXCELLENT,03/17/2011 12:00 AM,"4211 SO 84 ST
Omaha, NE
(41.21792762876339, -96.043120567715)"
ER BAR (THE),EXCELLENT,04/18/2011 12:00 AM,"2236 NO 91 PLZ
Omaha, NE
(41.278474448588334, -96.05380889145636)"
ERICK'S ENCHILADAS,STANDARD,04/04/2011 12:00 AM,"1702 SO 13 ST
Omaha, NE
(41.2427039506706, -95.93331334793743)"
ERIN COURT CATERING,EXCELLENT,03/16/2011 12:00 AM,"4714 NO 120 ST
Omaha, NE
(41.30205021138414, -96.10066818436991)"
ESPANA RESTAURANT,EXCELLENT,07/14/2011 12:00 AM,"6064 MAPLE ST
Omaha, NE
(41.28499906570863, -96.00673399840952)"
ETHNIC SANDWICH SHOP,EXCELLENT,04/27/2011 12:00 AM,"1438 SO 13 ST
Omaha, NE
(41.24415185913779, -95.93331334793743)"
EUREST DINING SERVICES,EXCELLENT,06/15/2011 12:00 AM,"13810 FNB PARKWAY
Omaha, NE
(41.26611330309328, -96.1315958689575)"
EVERY DAY SHOP,STANDARD,01/26/2011 12:00 AM,"2302 SO 13 ST
Omaha, NE
(41.237910564254435, -95.93334032759833)"
EXCLUSIVE DISTRIBUTING / LORRI'S LUNCH BOX,EXCELLENT,07/29/2011 12:00 AM,"4910 F ST
Omaha, NE
(41.2197442592626, -95.98816299850444)"
EXPRESS U,STANDARD,07/07/2011 12:00 AM,"3507 NO 30 ST
Omaha, NE
(41.29058007835757, -95.95650584492435)"
EXTREME PIZZA,STANDARD,06/15/2011 12:00 AM,"741 NO 114 ST
Omaha, NE
(41.267158126667965, -96.09133297027014)"
EZRA MILLARD ELEMENTARY,SUPERIOR,02/03/2011 12:00 AM,"14111 BLONDO ST
Omaha, NE
(41.27760577516898, -96.1337249689203)"
EZ'S PLACE,STANDARD,09/01/2010 12:00 AM,"15761 W DODGE RD
Omaha, NE
(41.26257834265785, -96.16074297021817)"
FAIRFIELD INN & SUITES,STANDARD,02/11/2010 12:00 AM,"1501 NICHOLAS ST
Omaha, NE
(41.26998038781932, -95.93600232080507)"
FAIRMONT ANTIQUE / HOLLYWOOD CANDY,STANDARD,11/22/2010 12:00 AM,"1209 JACKSON ST
Omaha, NE
(41.254386143831255, -95.93221617506168)"
FAMILY DOLLAR,STANDARD,10/21/2010 12:00 AM,"5080 SO 108TH STREET
Omaha, NE
(41.2063716886858, -96.0815535293061)"
FAMILY DOLLAR,STANDARD,02/17/2010 12:00 AM,"4412 DODGE ST
Omaha, NE
(41.25967415736352, -95.97878306973888)"
FAMILY DOLLAR #1966,STANDARD,03/18/2011 12:00 AM,"5028 AMES AVE
Omaha, NE
(41.29969485112616, -95.99098210856802)"
FAMILY DOLLAR #2254,STANDARD,06/30/2011 12:00 AM,"3552 LEAVENWORTH ST
Omaha, NE
(41.25238964892617, -95.96597672404164)"
FAMILY DOLLAR #2311,STANDARD,04/18/2011 12:00 AM,"6618 N 30 ST
Omaha, NE
(41.31910135705965, -95.95655182917454)"
FAMILY DOLLAR #4476,EXCELLENT,02/14/2011 12:00 AM,"2930 SPRAGUE ST
Omaha, NE
(41.2958988487037, -95.95567948680616)"
FAMILY DOLLAR #5194,STANDARD,04/07/2010 12:00 AM,"1516 NW RADIAL HWY
Omaha, NE
(41.27346975729296, -95.98354947649415)"
FAMILY DOLLAR #5376,STANDARD,08/02/2011 12:00 AM,"1725 SO 13 ST
Omaha, NE
(41.24245950280506, -95.93324277943198)"
FAMILY DOLLAR #5542,STANDARD,07/29/2011 12:00 AM,"834 SO 24 ST
Omaha, NE
(41.2511126116446, -95.94707297498576)"
FAMILY DOLLAR #6879,EXCELLENT,06/15/2011 12:00 AM,"1500 NO 24 ST
Omaha, NE
(41.27314600136242, -95.94702800888427)"
FAMILY FUN CENTER,FAIR,06/14/2010 12:00 AM,"7052 DODGE ST
Omaha, NE
(41.259638184482355, -96.02177066273941)"
FAMILY SERVICE SENIOR CENTER,EXCELLENT,07/29/2011 12:00 AM,"2101 SO 42ND ST
Omaha, NE
(41.23918760153606, -95.97582430026245)"
FAMOUS DAVE'S BBQ,STANDARD,06/29/2011 12:00 AM,"13015 BIRCH DR
Omaha, NE
(41.29186089279216, -96.1164962520856)"
FAMOUS DAVE'S BBQ,STANDARD,06/30/2011 12:00 AM,"12020 ANNE ST
Omaha, NE
(41.211317611848074, -96.10154052673829)"
FAMOUS DAVE'S BBQ,STANDARD,02/07/2011 12:00 AM,"7051 AMES AVE
Omaha, NE
(41.299280299533905, -96.02106919155653)"
FAN TAN CLUB,EXCELLENT,07/01/2011 12:00 AM,"5915 CENTER ST
Omaha, NE
(41.23786559815301, -96.00382019503456)"
FANTASY FOOD & FUEL,STANDARD,02/18/2011 12:00 AM,"16960 EVANS PLZ
Omaha, NE
(41.29121338093108, -96.17949376023802)"
FANTASY'S INC,EXCELLENT,06/07/2011 12:00 AM,"3402 NO 120 ST
Omaha, NE
(41.29132129957458, -96.10068617081049)"
FANTASY'S INC,EXCELLENT,01/08/2010 12:00 AM,"250 NO 168 CIR
Omaha, NE
(41.260528513291376, -96.17703861109806)"
FANTASY'S INC,STANDARD,01/05/2011 12:00 AM,"14330 HILLSDALE AVE
Omaha, NE
(41.21512174403199, -96.1378911231626)"
FANTASY'S INC,EXCELLENT,04/14/2011 12:00 AM,"9004 FORT ST
Omaha, NE
(41.30668171983501, -96.05313901512136)"
FANTASY'S INC,EXCELLENT,07/07/2011 12:00 AM,"2540 NO 90 ST
Omaha, NE
(41.281248892846406, -96.05269834732701)"
FARMERS MARKET,STANDARD,06/20/2011 12:00 AM,"4911 LEAVENWORTH
Omaha, NE
(41.25234381936593, -95.98787609980086)"
FARMHOUSE CAFE & DELI,EXCELLENT,03/28/2011 12:00 AM,"3461 SO 84 ST
Omaha, NE
(41.22860788870808, -96.0430389501634)"
FARRELL'S BAR & GRILL,EXCELLENT,04/27/2010 12:00 AM,"902 DODGE ST
Omaha, NE
(41.259629191262036, -95.92828613779369)"
FAST STOP,STANDARD,05/24/2011 12:00 AM,"1349 PARK AVE
Omaha, NE
(41.245437889639675, -95.95573344612791)"
FATBURGER,STANDARD,07/13/2011 12:00 AM,"725 NO 114 ST
Omaha, NE
(41.26681249325319, -96.0910144396323)"
FATHI RESTAURANT,STANDARD,04/05/2011 12:00 AM,"1140 NW RADIAL
Omaha, NE
(41.260689999643944, -95.94059000012828)"
FAZOLI'S RESTAURANT,STANDARD,07/25/2011 12:00 AM,"8002 CASS ST
Omaha, NE
(41.26337037090394, -96.0384800660438)"
FAZOLI'S RESTAURANT,EXCELLENT,04/06/2011 12:00 AM,"2434 SO 132 ST
Omaha, NE
(41.236507621888734, -96.11951797410404)"
FEDERAL RESERVE BANK,EXCELLENT,05/07/2010 12:00 AM,"2201 FARNAM
Omaha, NE
(41.257523914254705, -95.94535536181127)"
FEDORA LOUNGE,EXCELLENT,03/11/2011 12:00 AM,"711 NO 114 ST
Omaha, NE
(41.266564938226466, -96.09096550433632)"
FELIX HALL LLC,STANDARD,03/23/2010 12:00 AM,"2226 N ST
Omaha, NE
(41.20969883219533, -95.94516641228364)"
FERNANDO'S,STANDARD,06/15/2010 12:00 AM,"380 NO 114 ST
Omaha, NE
(41.26183852921706, -96.0910483494785)"
FERNANDO'S ON PACIFIC,EXCELLENT,03/04/2011 12:00 AM,"7555 PACIFIC ST
Omaha, NE
(41.24881034724956, -96.03072791015126)"
FETA'S GYROS,STANDARD,03/10/2011 12:00 AM,"14544 W CENTER RD
Omaha, NE
(41.233980237706014, -96.14161477276294)"
FETA'S GYROS,EXCELLENT,07/22/2011 12:00 AM,"743 NO 114 ST
Omaha, NE
(41.26718216707018, -96.09138480738743)"
